roi,network
L_a47r_ROI,Frontoparietal
L_6r_ROI,Cingulo-Opercular
L_IFJa_ROI,Language
L_IFJp_ROI,Frontoparietal
L_IFSp_ROI,Language
L_IFSa_ROI,Frontoparietal
L_p9-46v_ROI,Frontoparietal
L_46_ROI,Cingulo-Opercular
L_a9-46v_ROI,Frontoparietal
L_9-46d_ROI,Cingulo-Opercular
L_9a_ROI,Default
L_10v_ROI,Default
L_a10p_ROI,Frontoparietal
L_10pp_ROI,Default
L_11l_ROI,Frontoparietal
L_13l_ROI,Frontoparietal
L_OFC_ROI,Default
L_47s_ROI,Default
L_LIPd_ROI,Dorsal-Attention
L_6a_ROI,Dorsal-Attention
L_i6-8_ROI,Frontoparietal
L_s6-8_ROI,Frontoparietal
L_43_ROI,Cingulo-Opercular
L_OP4_ROI,Somatomotor
L_OP1_ROI,Somatomotor
L_OP2-3_ROI,Somatomotor
L_52_ROI,Auditory
L_RI_ROI,Auditory
L_PFcm_ROI,Cingulo-Opercular
L_PoI2_ROI,Cingulo-Opercular
L_TA2_ROI,Auditory
L_FOP4_ROI,Cingulo-Opercular
L_MI_ROI,Cingulo-Opercular
L_Pir_ROI,Orbito-Affective
L_AVI_ROI,Frontoparietal
L_AAIC_ROI,Orbito-Affective
L_FOP1_ROI,Cingulo-Opercular
L_FOP3_ROI,Cingulo-Opercular
L_FOP2_ROI,Somatomotor
L_PFt_ROI,Dorsal-Attention
L_AIP_ROI,Dorsal-Attention
L_EC_ROI,Default
L_PreS_ROI,Default
L_H_ROI,Default
L_ProS_ROI,Visual1
L_PeEc_ROI,Ventral-Multimodal
L_STGa_ROI,Language
L_PBelt_ROI,Auditory
L_A5_ROI,Language
L_PHA1_ROI,Default
L_PHA3_ROI,Dorsal-Attention
L_STSda_ROI,Language
L_STSdp_ROI,Language
L_STSvp_ROI,Default
L_TGd_ROI,Default
L_TE1a_ROI,Default
L_TE1p_ROI,Frontoparietal
L_TE2a_ROI,Default
L_TF_ROI,Ventral-Multimodal
L_TE2p_ROI,Dorsal-Attention
L_PHT_ROI,Dorsal-Attention
L_PH_ROI,Visual2
L_TPOJ1_ROI,Language
L_TPOJ2_ROI,Posterior-Multimodal
L_TPOJ3_ROI,Posterior-Multimodal
L_DVT_ROI,Visual1
L_PGp_ROI,Dorsal-Attention
L_IP2_ROI,Frontoparietal
L_IP1_ROI,Frontoparietal
L_IP0_ROI,Dorsal-Attention
L_PFop_ROI,Cingulo-Opercular
L_PF_ROI,Cingulo-Opercular
L_PFm_ROI,Frontoparietal
L_PGi_ROI,Default
L_PGs_ROI,Default
L_V6A_ROI,Visual2
L_VMV1_ROI,Visual2
L_VMV3_ROI,Visual2
L_PHA2_ROI,Default
L_V4t_ROI,Visual2
L_FST_ROI,Visual2
L_V3CD_ROI,Visual2
L_LO3_ROI,Visual2
L_VMV2_ROI,Visual2
L_31pd_ROI,Default
L_31a_ROI,Default
L_VVC_ROI,Visual2
L_25_ROI,Default
L_s32_ROI,Default
L_pOFC_ROI,Orbito-Affective
L_PoI1_ROI,Cingulo-Opercular
L_Ig_ROI,Somatomotor
L_FOP5_ROI,Cingulo-Opercular
L_p10p_ROI,Frontoparietal
L_p47r_ROI,Frontoparietal
L_TGv_ROI,Language
L_MBelt_ROI,Auditory
L_LBelt_ROI,Auditory
L_A4_ROI,Auditory
L_STSva_ROI,Default
L_TE1m_ROI,Default
L_PI_ROI,Cingulo-Opercular
L_a32pr_ROI,Cingulo-Opercular
L_p24_ROI,Cingulo-Opercular
R_V1_ROI,Visual1
R_MST_ROI,Visual2
R_V6_ROI,Visual2
R_V2_ROI,Visual2
R_V3_ROI,Visual2
R_V4_ROI,Visual2
R_V8_ROI,Visual2
R_4_ROI,Somatomotor
R_3b_ROI,Somatomotor
R_FEF_ROI,Cingulo-Opercular
R_PEF_ROI,Cingulo-Opercular
R_55b_ROI,Language
R_V3A_ROI,Visual2
R_RSC_ROI,Frontoparietal
R_POS2_ROI,Frontoparietal
R_V7_ROI,Visual2
R_IPS1_ROI,Visual2
R_FFC_ROI,Visual2
R_V3B_ROI,Visual2
R_LO1_ROI,Visual2
R_LO2_ROI,Visual2
R_PIT_ROI,Visual2
R_MT_ROI,Visual2
R_A1_ROI,Auditory
R_PSL_ROI,Cingulo-Opercular
R_SFL_ROI,Language
R_PCV_ROI,Posterior-Multimodal
R_STV_ROI,Posterior-Multimodal
R_7Pm_ROI,Frontoparietal
R_7m_ROI,Default
R_POS1_ROI,Default
R_23d_ROI,Default
R_v23ab_ROI,Default
R_d23ab_ROI,Default
R_31pv_ROI,Default
R_5m_ROI,Somatomotor
R_5mv_ROI,Cingulo-Opercular
R_23c_ROI,Cingulo-Opercular
R_5L_ROI,Somatomotor
R_24dd_ROI,Somatomotor
R_24dv_ROI,Somatomotor
R_7AL_ROI,Somatomotor
R_SCEF_ROI,Cingulo-Opercular
R_6ma_ROI,Cingulo-Opercular
R_7Am_ROI,Cingulo-Opercular
R_7PL_ROI,Dorsal-Attention
R_7PC_ROI,Somatomotor
R_LIPv_ROI,Visual2
R_VIP_ROI,Visual2
R_MIP_ROI,Dorsal-Attention
R_1_ROI,Somatomotor
R_2_ROI,Somatomotor
R_3a_ROI,Somatomotor
R_6d_ROI,Somatomotor
R_6mp_ROI,Somatomotor
R_6v_ROI,Somatomotor
R_p24pr_ROI,Cingulo-Opercular
R_33pr_ROI,Frontoparietal
R_a24pr_ROI,Cingulo-Opercular
R_p32pr_ROI,Cingulo-Opercular
R_a24_ROI,Default
R_d32_ROI,Frontoparietal
R_8BM_ROI,Frontoparietal
R_p32_ROI,Default
R_10r_ROI,Default
R_47m_ROI,Default
R_8Av_ROI,Default
R_8Ad_ROI,Default
R_9m_ROI,Default
R_8BL_ROI,Default
R_9p_ROI,Default
R_10d_ROI,Default
R_8C_ROI,Frontoparietal
R_44_ROI,Frontoparietal
R_45_ROI,Language
R_47l_ROI,Default
R_a47r_ROI,Frontoparietal
R_6r_ROI,Cingulo-Opercular
R_IFJa_ROI,Language
R_IFJp_ROI,Frontoparietal
R_IFSp_ROI,Frontoparietal
R_IFSa_ROI,Cingulo-Opercular
R_p9-46v_ROI,Frontoparietal
R_46_ROI,Cingulo-Opercular
R_a9-46v_ROI,Frontoparietal
R_9-46d_ROI,Cingulo-Opercular
R_9a_ROI,Default
R_10v_ROI,Default
R_a10p_ROI,Frontoparietal
R_10pp_ROI,Default
R_11l_ROI,Frontoparietal
R_13l_ROI,Frontoparietal
R_OFC_ROI,Frontoparietal
R_47s_ROI,Default
R_LIPd_ROI,Dorsal-Attention
R_6a_ROI,Dorsal-Attention
R_i6-8_ROI,Frontoparietal
R_s6-8_ROI,Frontoparietal
R_43_ROI,Cingulo-Opercular
R_OP4_ROI,Somatomotor
R_OP1_ROI,Somatomotor
R_OP2-3_ROI,Somatomotor
R_52_ROI,Auditory
R_RI_ROI,Somatomotor
R_PFcm_ROI,Cingulo-Opercular
R_PoI2_ROI,Cingulo-Opercular
R_TA2_ROI,Auditory
R_FOP4_ROI,Cingulo-Opercular
R_MI_ROI,Cingulo-Opercular
R_Pir_ROI,Orbito-Affective
R_AVI_ROI,Frontoparietal
R_AAIC_ROI,Orbito-Affective
R_FOP1_ROI,Cingulo-Opercular
R_FOP3_ROI,Cingulo-Opercular
R_FOP2_ROI,Somatomotor
R_PFt_ROI,Dorsal-Attention
R_AIP_ROI,Dorsal-Attention
R_EC_ROI,Default
R_PreS_ROI,Default
R_H_ROI,Default
R_ProS_ROI,Visual1
R_PeEc_ROI,Ventral-Multimodal
R_STGa_ROI,Language
R_PBelt_ROI,Auditory
R_A5_ROI,Language
R_PHA1_ROI,Default
R_PHA3_ROI,Dorsal-Attention
R_STSda_ROI,Default
R_STSdp_ROI,Language
R_STSvp_ROI,Default
R_TGd_ROI,Default
R_TE1a_ROI,Default
R_TE1p_ROI,Frontoparietal
R_TE2a_ROI,Default
R_TF_ROI,Ventral-Multimodal
R_TE2p_ROI,Dorsal-Attention
R_PHT_ROI,Dorsal-Attention
R_PH_ROI,Visual2
R_TPOJ1_ROI,Language
R_TPOJ2_ROI,Posterior-Multimodal
R_TPOJ3_ROI,Posterior-Multimodal
R_DVT_ROI,Visual1
R_PGp_ROI,Dorsal-Attention
R_IP2_ROI,Frontoparietal
R_IP1_ROI,Frontoparietal
R_IP0_ROI,Dorsal-Attention
R_PFop_ROI,Cingulo-Opercular
R_PF_ROI,Cingulo-Opercular
R_PFm_ROI,Frontoparietal
R_PGi_ROI,Default
R_PGs_ROI,Default
R_V6A_ROI,Visual2
R_VMV1_ROI,Visual2
R_VMV3_ROI,Visual2
R_PHA2_ROI,Default
R_V4t_ROI,Visual2
R_FST_ROI,Visual2
R_V3CD_ROI,Visual2
R_LO3_ROI,Visual2
R_VMV2_ROI,Visual2
R_31pd_ROI,Default
R_31a_ROI,Frontoparietal
R_VVC_ROI,Visual2
R_25_ROI,Default
R_s32_ROI,Default
R_pOFC_ROI,Orbito-Affective
R_PoI1_ROI,Cingulo-Opercular
R_Ig_ROI,Somatomotor
R_FOP5_ROI,Cingulo-Opercular
R_p10p_ROI,Frontoparietal
R_p47r_ROI,Frontoparietal
R_TGv_ROI,Language
R_MBelt_ROI,Auditory
R_LBelt_ROI,Auditory
R_A4_ROI,Auditory
R_STSva_ROI,Default
R_TE1m_ROI,Frontoparietal
R_PI_ROI,Cingulo-Opercular
R_a32pr_ROI,Cingulo-Opercular
R_p24_ROI,Cingulo-Opercular
