"trial","condition","onset","RT","response","reversed","syllables","item","subjectID","subNum","run","instruction","construct","RT_original","responseNum","responseYN","valence"
36,4,229.461,0.637583296541159,"yes",0,1,"proud","FP001","001","run1","change","well-being",3.217,1,"yes","positive"
1,3,5.049,0.017833324478342,"no",0,3,"overwhelmed","FP001","001","run2","self","ill-being",1.731,0,"no","negative"
2,3,10.035,0.294186299724154,"yes",1,2,"lonely","FP001","001","run2","self","social",2.282,0,"no","negative"
3,2,15.356,0.224786434195612,"yes",0,3,"am cared for","FP001","001","run2","self","social",2.129,1,"yes","positive"
4,2,20.341,-0.0558747809589556,"no",1,3,"neglected","FP001","001","run2","self","social",1.608,1,"yes","negative"
5,1,25.429,0.120938265309833,"no",0,2,"joyful","FP001","001","run2","self","well-being",1.919,0,"no","positive"
6,1,30.374,-0.426505936391487,"yes",0,3,"capable","FP001","001","run2","self","well-being",1.11,1,"yes","positive"
7,4,45.191,0.872777047738773,"yes",0,6,"live a meaningful life","FP001","001","run2","change","well-being",4.07,1,"yes","positive"
8,4,50.13,-0.137473424841835,"yes",0,2,"happy","FP001","001","run2","change","well-being",1.482,1,"yes","positive"
9,6,55.151,-0.113472272742292,"yes",0,2,"nervous","FP001","001","run2","change","ill-being",1.518,1,"yes","negative"
10,6,60.171,0.325250057122355,"yes",0,3,"unhappy","FP001","001","run2","change","ill-being",2.354,1,"yes","negative"
11,5,65.19,1.01200471644626,"no",0,4,"feel encouraged","FP001","001","run2","change","social",4.678,0,"no","positive"
12,6,70.273,0.677497200911499,"yes",0,2,"tired","FP001","001","run2","change","ill-being",3.348,1,"yes","negative"
13,3,84.973,0.010876774684982,"no",0,2,"anxious","FP001","001","run2","self","ill-being",1.719,0,"no","negative"
14,3,89.956,-0.160682657752206,"no",0,1,"stressed","FP001","001","run2","self","ill-being",1.448,0,"no","negative"
15,1,94.896,0.465344403334298,"yes",0,4,"optimistic","FP001","001","run2","self","well-being",2.708,1,"yes","positive"
16,1,99.839,0.132337352471143,"yes",0,3,"achieve goals","FP001","001","run2","self","well-being",1.941,1,"yes","positive"
17,2,104.823,0.48942437017691,"yes",0,6,"have warm relationships","FP001","001","run2","self","social",2.774,1,"yes","positive"
18,3,109.774,0.87694525286641,"no",0,5,"feel unimportant","FP001","001","run2","self","ill-being",4.087,0,"no","negative"
19,6,124.573,-0.0120721583005627,"yes",0,2,"depressed","FP001","001","run2","change","ill-being",1.68,1,"yes","negative"
20,4,129.553,0.151725714904698,"yes",0,3,"like myself","FP001","001","run2","change","well-being",1.979,1,"yes","positive"
21,5,134.573,0.0918587645476693,"yes",0,3,"have good friends","FP001","001","run2","change","social",1.864,1,"yes","positive"
22,5,139.673,0.719608686261625,"no",0,5,"comfortable with friends","FP001","001","run2","change","social",3.492,0,"no","positive"
23,4,144.998,0.848907192413895,"no",0,2,"cheerful","FP001","001","run2","change","well-being",3.974,0,"no","positive"
24,6,149.987,0.134910032048083,"yes",0,5,"feel invisible","FP001","001","run2","change","ill-being",1.946,1,"yes","negative"
25,2,164.639,-0.0276693551142307,"yes",0,2,"trusted","FP001","001","run2","self","social",1.654,1,"yes","positive"
26,1,169.583,-0.173191507443914,"no",0,5,"full of energy","FP001","001","run2","self","well-being",1.43,0,"no","positive"
27,1,174.537,-0.518937380850456,"yes",0,1,"proud","FP001","001","run2","self","well-being",1.012,1,"yes","positive"
28,3,179.556,-0.234471938661928,"no",0,5,"unable to cope","FP001","001","run2","self","ill-being",1.345,0,"no","negative"
29,2,184.493,-0.166917523810499,"yes",0,1,"loved","FP001","001","run2","self","social",1.439,1,"yes","positive"
30,2,189.471,-0.162756630151335,"yes",0,2,"well-liked","FP001","001","run2","self","social",1.445,1,"yes","positive"
31,5,204.139,0.371731453026422,"yes",0,5,"have support systems","FP001","001","run2","change","social",2.466,1,"yes","positive"
32,5,209.304,-0.146965021523406,"yes",1,4,"isolated","FP001","001","run2","change","social",1.468,0,"no","negative"
33,6,214.248,0.280952758561714,"yes",0,4,"feel rejected","FP001","001","run2","change","ill-being",2.252,1,"yes","negative"
34,5,219.235,-0.30852272057229,"yes",1,5,"alienated","FP001","001","run2","change","social",1.249,0,"no","negative"
35,4,224.405,NA,NA,0,6,"live a purposeful life","FP001","001","run2","change","well-being",NA,NA,NA,"positive"
36,4,229.387,-2.86391025219448,"yes",0,5,"satisfied with life","FP001","001","run2","change","well-being",0.097,1,"yes","positive"
1,3,5.052,-0.153114682175082,"yes",0,3,"unhappy","FP002","002","run1","self","ill-being",1.459,1,"yes","negative"
2,3,9.994,0.0143610987675928,"no",0,1,"stressed","FP002","002","run1","self","ill-being",1.725,0,"no","negative"
3,2,14.977,-0.405996969669861,"yes",0,2,"well-liked","FP002","002","run1","self","social",1.133,1,"yes","positive"
4,2,19.924,0.0891727570235767,"yes",0,5,"have support systems","FP002","002","run1","self","social",1.859,1,"yes","positive"
5,1,25.26,-0.366199330160496,"yes",0,3,"achieve goals","FP002","002","run1","self","well-being",1.179,1,"yes","positive"
6,1,30.21,-0.163448911245096,"yes",0,2,"joyful","FP002","002","run1","self","well-being",1.444,1,"yes","positive"
7,4,44.943,0.150208647609946,"no",0,2,"happy","FP002","002","run1","change","well-being",1.976,0,"no","positive"
8,4,49.893,0.265288978918444,"yes",0,4,"optimistic","FP002","002","run1","change","well-being",2.217,1,"yes","positive"
9,6,54.91,0.186485917541032,"yes",0,3,"overwhelmed","FP002","002","run1","change","ill-being",2.049,1,"yes","negative"
10,6,59.927,0.13798853627517,"yes",0,2,"nervous","FP002","002","run1","change","ill-being",1.952,1,"yes","negative"
11,5,64.872,0.663965194692922,"yes",1,5,"alienated","FP002","002","run1","change","social",3.303,0,"no","negative"
12,6,69.859,0.499824320466921,"yes",0,5,"feel invisible","FP002","002","run1","change","ill-being",2.803,1,"yes","negative"
13,3,84.738,0.444825123439872,"yes",0,2,"tired","FP002","002","run1","self","ill-being",2.653,1,"yes","negative"
14,3,89.758,-0.165528634698345,"no",0,5,"unable to cope","FP002","002","run1","self","ill-being",1.441,0,"no","negative"
15,1,94.861,0.0668710440395569,"yes",0,5,"satisfied with life","FP002","002","run1","self","well-being",1.818,1,"yes","positive"
16,1,99.875,0.311993502072542,"yes",0,6,"live a purposeful life","FP002","002","run1","self","well-being",2.323,1,"yes","positive"
17,2,105.201,-0.344386384773112,"yes",0,3,"have good friends","FP002","002","run1","self","social",1.205,1,"yes","positive"
18,3,110.292,-0.105598216311386,"no",0,2,"anxious","FP002","002","run1","self","ill-being",1.53,0,"no","negative"
19,6,124.959,0.153744897821929,"yes",0,2,"depressed","FP002","002","run1","change","ill-being",1.983,1,"yes","negative"
20,4,129.903,-0.253234215117451,"yes",0,2,"cheerful","FP002","002","run1","change","well-being",1.32,1,"yes","positive"
21,5,134.856,0.4300156634863,"no",0,4,"feel encouraged","FP002","002","run1","change","social",2.614,0,"no","positive"
22,5,139.875,0.485451094225549,"yes",1,4,"isolated","FP002","002","run1","change","social",2.763,0,"no","negative"
23,4,144.825,0.643781023228377,"no",0,3,"capable","FP002","002","run1","change","well-being",3.237,0,"no","positive"
24,6,149.808,0.357025305636727,"yes",0,5,"feel unimportant","FP002","002","run1","change","ill-being",2.43,1,"yes","negative"
25,2,164.475,-0.163448911245096,"yes",0,5,"comfortable with friends","FP002","002","run1","self","social",1.444,1,"yes","positive"
26,1,169.457,-0.157235567127584,"yes",0,5,"full of energy","FP002","002","run1","self","well-being",1.453,1,"yes","positive"
27,1,174.774,-0.183029956444202,"yes",0,3,"like myself","FP002","002","run1","self","well-being",1.416,1,"yes","positive"
28,3,179.755,-0.244935412302756,"no",1,2,"lonely","FP002","002","run1","self","social",1.331,1,"yes","negative"
29,2,184.709,-0.301342793437481,"yes",0,1,"loved","FP002","002","run1","self","social",1.258,1,"yes","positive"
30,2,189.724,-0.473540885096461,"no",1,3,"neglected","FP002","002","run1","self","social",1.059,1,"yes","negative"
31,5,204.423,0.521004074400248,"no",0,3,"am cared for","FP002","002","run1","change","social",2.863,0,"no","positive"
32,5,209.375,0.178154578000505,"yes",0,6,"have warm relationships","FP002","002","run1","change","social",2.032,1,"yes","positive"
33,6,214.358,0.73917545257991,"yes",0,4,"feel rejected","FP002","002","run1","change","ill-being",3.561,1,"yes","negative"
34,5,219.525,0.221493088476061,"yes",0,2,"trusted","FP002","002","run1","change","social",2.122,1,"yes","positive"
35,4,224.471,0.370920093955543,"no",0,6,"live a meaningful life","FP002","002","run1","change","well-being",2.464,0,"no","positive"
36,4,229.575,0.307246999094401,"no",0,1,"proud","FP002","002","run1","change","well-being",2.312,0,"no","positive"
1,3,5.052,0.358670042849605,"no",0,3,"overwhelmed","FP002","002","run2","self","ill-being",2.434,0,"no","negative"
2,3,10.087,-0.128071072163445,"yes",0,2,"nervous","FP002","002","run2","self","ill-being",1.496,1,"yes","negative"
3,2,15.036,-0.210232779124264,"no",1,5,"alienated","FP002","002","run2","self","social",1.378,1,"yes","negative"
4,2,20.019,-0.407763754581747,"yes",0,4,"feel encouraged","FP002","002","run2","self","social",1.131,1,"yes","positive"
5,1,24.964,-0.586378661645989,"yes",0,2,"happy","FP002","002","run2","self","well-being",0.946,1,"yes","positive"
6,1,29.918,-0.499367284656359,"yes",0,4,"optimistic","FP002","002","run2","self","well-being",1.032,1,"yes","positive"
7,4,44.613,0.287150210890084,"no",0,3,"achieve goals","FP002","002","run2","change","well-being",2.266,0,"no","positive"
8,4,49.552,0.357025305636727,"no",0,2,"joyful","FP002","002","run2","change","well-being",2.43,0,"no","positive"
9,6,54.534,-0.0913215299547032,"yes",0,3,"unhappy","FP002","002","run2","change","ill-being",1.552,1,"yes","negative"
10,6,59.518,-0.0913215299547032,"yes",0,1,"stressed","FP002","002","run2","change","ill-being",1.552,1,"yes","negative"
11,5,64.502,0.559714165255115,"yes",0,2,"well-liked","FP002","002","run2","change","social",2.976,1,"yes","positive"
12,6,69.668,-0.282444593217252,"yes",0,2,"tired","FP002","002","run2","change","ill-being",1.282,1,"yes","negative"
13,3,84.368,-0.145603550925085,"no",0,5,"feel invisible","FP002","002","run2","self","ill-being",1.47,0,"no","negative"
14,3,89.461,-0.314142968204443,"no",0,2,"depressed","FP002","002","run2","self","ill-being",1.242,0,"no","negative"
15,1,94.401,-0.517949726449184,"yes",0,2,"cheerful","FP002","002","run2","self","well-being",1.013,1,"yes","positive"
16,1,99.501,-0.32792510771904,"yes",0,3,"capable","FP002","002","run2","self","well-being",1.225,1,"yes","positive"
17,2,104.438,-0.453904910579602,"no",1,4,"isolated","FP002","002","run2","self","social",1.08,1,"yes","negative"
18,3,109.458,-0.014455949655839,"no",0,5,"feel unimportant","FP002","002","run2","self","ill-being",1.676,0,"no","negative"
19,6,124.168,0.608888280283555,"yes",0,5,"unable to cope","FP002","002","run2","change","ill-being",3.126,1,"yes","negative"
20,4,129.333,0.0923951013800486,"no",0,5,"satisfied with life","FP002","002","run2","change","well-being",1.865,0,"no","positive"
21,5,134.277,0.0440605974567839,"no",0,5,"have support systems","FP002","002","run2","change","social",1.777,0,"no","positive"
22,5,139.297,0.223376328204026,"no",0,3,"have good friends","FP002","002","run2","change","social",2.126,0,"no","positive"
23,4,144.401,0.729014484548502,"no",0,6,"live a purposeful life","FP002","002","run2","change","well-being",3.525,0,"no","positive"
24,6,149.35,0.0253153737710576,"yes",0,2,"anxious","FP002","002","run2","change","ill-being",1.744,1,"yes","negative"
25,2,164.049,-0.385035503504191,"yes",0,3,"am cared for","FP002","002","run2","self","social",1.157,1,"yes","positive"
26,1,169.368,0.112040012407468,"yes",0,6,"live a meaningful life","FP002","002","run2","self","well-being",1.902,1,"yes","positive"
27,1,174.384,-0.047205996022509,"yes",0,1,"proud","FP002","002","run2","self","well-being",1.622,1,"yes","positive"
28,3,179.325,-0.240437653595924,"no",0,4,"feel rejected","FP002","002","run2","self","ill-being",1.337,0,"no","negative"
29,2,184.35,-0.375573067309695,"yes",0,6,"have warm relationships","FP002","002","run2","self","social",1.168,1,"yes","positive"
30,2,189.666,-0.457615489976138,"yes",0,2,"trusted","FP002","002","run2","self","social",1.076,1,"yes","positive"
31,5,204.366,0.178154578000505,"no",0,5,"comfortable with friends","FP002","002","run2","change","social",2.032,0,"no","positive"
32,5,209.347,-0.104944835040184,"no",0,1,"loved","FP002","002","run2","change","social",1.531,0,"no","positive"
33,6,214.366,-0.14969353617661,"yes",1,2,"lonely","FP002","002","run2","change","social",1.464,0,"no","negative"
34,5,219.466,0.423105847126113,"yes",1,3,"neglected","FP002","002","run2","change","social",2.596,0,"no","negative"
35,4,224.408,0.512233627022121,"yes",0,5,"full of energy","FP002","002","run2","change","well-being",2.838,1,"yes","positive"
36,4,229.428,0.240167767501286,"no",0,3,"like myself","FP002","002","run2","change","well-being",2.162,0,"no","positive"
1,3,5.08,0.173221168882549,"no",0,5,"feel unimportant","FP003","003","run1","self","ill-being",2.022,0,"no","negative"
2,3,10.18,-0.0646193713477069,"no",0,4,"feel rejected","FP003","003","run1","self","ill-being",1.594,0,"no","negative"
3,2,15.506,-0.294214050376728,"yes",0,5,"have support systems","FP003","003","run1","self","social",1.267,1,"yes","positive"
4,2,20.494,-0.0919660675213285,"yes",0,2,"well-liked","FP003","003","run1","self","social",1.551,1,"yes","positive"
5,1,25.447,-0.317368777453326,"yes",0,2,"happy","FP003","003","run1","self","well-being",1.238,1,"yes","positive"
6,1,30.396,0.0880963306548385,"yes",0,5,"full of energy","FP003","003","run1","self","well-being",1.857,1,"yes","positive"
7,4,45.094,0.157771073366329,"yes",0,3,"like myself","FP003","003","run1","change","well-being",1.991,1,"yes","positive"
8,4,50.046,0.367668058569166,"yes",0,6,"live a purposeful life","FP003","003","run1","change","well-being",2.456,1,"yes","positive"
9,6,55.029,-0.431020616746014,"yes",0,1,"stressed","FP003","003","run1","change","ill-being",1.105,1,"yes","negative"
10,6,59.971,-0.22191174398841,"yes",0,2,"depressed","FP003","003","run1","change","ill-being",1.362,1,"yes","negative"
11,5,65.145,-0.268501687248239,"yes",0,5,"comfortable with friends","FP003","003","run1","change","social",1.3,1,"yes","positive"
12,6,70.162,0.143607963578594,"yes",0,5,"unable to cope","FP003","003","run1","change","ill-being",1.963,1,"yes","negative"
13,3,84.888,-0.173891052768,"yes",0,2,"tired","FP003","003","run1","self","ill-being",1.429,1,"yes","negative"
14,3,89.829,-0.417537266408727,"no",0,2,"anxious","FP003","003","run1","self","ill-being",1.12,0,"no","negative"
15,1,94.812,-0.347711408617884,"no",0,2,"cheerful","FP003","003","run1","self","well-being",1.201,0,"no","positive"
16,1,99.795,-0.100383080632278,"no",0,4,"optimistic","FP003","003","run1","self","well-being",1.538,0,"no","positive"
17,2,104.886,-0.171793883177276,"no",1,5,"alienated","FP003","003","run1","self","social",1.432,1,"yes","negative"
18,3,109.862,-0.641797512423012,"no",0,2,"nervous","FP003","003","run1","self","ill-being",0.895,0,"no","negative"
19,6,124.562,0.0810711734186719,"yes",0,3,"unhappy","FP003","003","run1","change","ill-being",1.844,1,"yes","negative"
20,4,129.504,-0.18515084801334,"yes",0,5,"satisfied with life","FP003","003","run1","change","well-being",1.413,1,"yes","positive"
21,5,134.444,-0.402472736947331,"yes",0,3,"am cared for","FP003","003","run1","change","social",1.137,1,"yes","positive"
22,5,139.461,-0.2902754867978,"yes",0,2,"trusted","FP003","003","run1","change","social",1.272,1,"yes","positive"
23,4,144.413,-0.253234215117451,"yes",0,3,"capable","FP003","003","run1","change","well-being",1.32,1,"yes","positive"
24,6,149.512,-0.419324576982823,"yes",0,5,"feel invisible","FP003","003","run1","change","ill-being",1.118,1,"yes","negative"
25,2,164.211,0.378198735066685,"no",0,6,"have warm relationships","FP003","003","run1","self","social",2.482,0,"no","positive"
26,1,169.149,-0.138823863939707,"yes",0,2,"joyful","FP003","003","run1","self","well-being",1.48,1,"yes","positive"
27,1,174.17,-0.386765607741973,"yes",0,6,"live a meaningful life","FP003","003","run1","self","well-being",1.155,1,"yes","positive"
28,3,179.111,0.278730041487462,"yes",1,2,"lonely","FP003","003","run1","self","social",2.247,0,"no","negative"
29,2,184.06,-0.61316119444256,"yes",0,1,"loved","FP003","003","run1","self","social",0.921,1,"yes","positive"
30,2,189.381,-0.499367284656359,"no",1,3,"neglected","FP003","003","run1","self","social",1.032,1,"yes","negative"
31,5,204.043,-0.209507352904566,"yes",0,3,"have good friends","FP003","003","run1","change","social",1.379,1,"yes","positive"
32,5,209.027,-0.153114682175082,"yes",1,4,"isolated","FP003","003","run1","change","social",1.459,0,"no","negative"
33,6,214.348,-0.252476926175542,"yes",0,3,"overwhelmed","FP003","003","run1","change","ill-being",1.321,1,"yes","negative"
34,5,219.328,0.320139313459795,"yes",0,4,"feel encouraged","FP003","003","run1","change","social",2.342,1,"yes","positive"
35,4,224.494,-0.260075746934168,"yes",0,1,"proud","FP003","003","run1","change","well-being",1.311,1,"yes","positive"
36,4,229.476,-0.138148416430068,"yes",0,3,"achieve goals","FP003","003","run1","change","well-being",1.481,1,"yes","positive"
1,3,5.055,-0.241185876601276,"yes",0,1,"stressed","FP003","003","run2","self","ill-being",1.336,1,"yes","negative"
2,3,10.042,-0.660974637062751,"no",0,2,"depressed","FP003","003","run2","self","ill-being",0.878,0,"no","negative"
3,2,15.229,-0.333655782428025,"yes",0,5,"comfortable with friends","FP003","003","run2","self","social",1.218,1,"yes","positive"
4,2,20.212,-0.131418915933129,"yes",0,3,"am cared for","FP003","003","run2","self","social",1.491,1,"yes","positive"
5,1,25.162,-0.40511474641017,"yes",0,3,"like myself","FP003","003","run2","self","well-being",1.134,1,"yes","positive"
6,1,30.262,-0.301342793437481,"yes",0,6,"live a purposeful life","FP003","003","run2","self","well-being",1.258,1,"yes","positive"
7,4,45.296,-0.356072661342567,"yes",0,2,"happy","FP003","003","run2","change","well-being",1.191,1,"yes","positive"
8,4,50.237,-0.0349509406854938,"yes",0,5,"full of energy","FP003","003","run2","change","well-being",1.642,1,"yes","positive"
9,6,55.342,-0.0204404079710794,"yes",0,5,"feel unimportant","FP003","003","run2","change","ill-being",1.666,1,"yes","negative"
10,6,60.329,-0.531866452049314,"yes",0,4,"feel rejected","FP003","003","run2","change","ill-being",0.999,1,"yes","negative"
11,5,65.648,-0.161373504066383,"yes",0,5,"have support systems","FP003","003","run2","change","social",1.447,1,"yes","positive"
12,6,70.595,-0.526873930446193,"yes",0,2,"tired","FP003","003","run2","change","ill-being",1.004,1,"yes","negative"
13,3,85.328,-0.031910500520227,"no",0,5,"unable to cope","FP003","003","run2","self","ill-being",1.647,0,"no","negative"
14,3,90.345,-0.0977856765745925,"no",0,3,"unhappy","FP003","003","run2","self","ill-being",1.542,0,"no","negative"
15,1,95.329,0.185509354963422,"yes",0,5,"satisfied with life","FP003","003","run2","self","well-being",2.047,1,"yes","positive"
16,1,100.308,-0.645155098117858,"yes",0,3,"capable","FP003","003","run2","self","well-being",0.892,1,"yes","positive"
17,2,105.478,-0.401593616011591,"yes",0,2,"trusted","FP003","003","run2","self","social",1.138,1,"yes","positive"
18,3,110.462,-0.126735066620702,"no",0,5,"feel invisible","FP003","003","run2","self","ill-being",1.498,0,"no","negative"
19,6,125.509,-0.216055211875697,"yes",0,2,"anxious","FP003","003","run2","change","ill-being",1.37,1,"yes","negative"
20,4,130.528,-0.715991435842419,"yes",0,2,"cheerful","FP003","003","run2","change","well-being",0.831,1,"yes","positive"
21,5,135.479,0.307679431533572,"yes",0,2,"well-liked","FP003","003","run2","change","social",2.313,1,"yes","positive"
22,5,140.461,-0.408648318991481,"yes",1,5,"alienated","FP003","003","run2","change","social",1.13,0,"no","negative"
23,4,145.44,0.0613553102542546,"no",0,4,"optimistic","FP003","003","run2","change","well-being",1.808,0,"no","positive"
24,6,150.393,-0.241934659863517,"yes",0,2,"nervous","FP003","003","run2","change","ill-being",1.335,1,"yes","negative"
25,2,165.204,-0.0533903076312937,"yes",0,3,"have good friends","FP003","003","run2","self","social",1.612,1,"yes","positive"
26,1,170.224,-0.640680817722937,"yes",0,1,"proud","FP003","003","run2","self","well-being",0.896,1,"yes","positive"
27,1,175.178,-0.412194421998232,"yes",0,3,"achieve goals","FP003","003","run2","self","well-being",1.126,1,"yes","positive"
28,3,180.161,-0.23670491316624,"no",0,3,"overwhelmed","FP003","003","run2","self","ill-being",1.342,0,"no","negative"
29,2,185.177,-0.189406173583478,"no",1,4,"isolated","FP003","003","run2","self","social",1.407,1,"yes","negative"
30,2,190.122,-0.129408865005105,"yes",0,4,"feel encouraged","FP003","003","run2","self","social",1.494,1,"yes","positive"
31,5,204.777,-0.195108256032386,"yes",0,6,"have warm relationships","FP003","003","run2","change","social",1.399,1,"yes","positive"
32,5,209.751,-0.253234215117451,"yes",0,1,"loved","FP003","003","run2","change","social",1.32,1,"yes","positive"
33,6,214.688,-0.668979253845364,"yes",1,2,"lonely","FP003","003","run2","change","social",0.871,0,"no","negative"
34,5,219.626,-0.130078433158677,"yes",1,3,"neglected","FP003","003","run2","change","social",1.493,0,"no","negative"
35,4,224.61,-0.689861683206188,"yes",0,2,"joyful","FP003","003","run2","change","well-being",0.853,1,"yes","positive"
36,4,229.626,-0.23670491316624,"yes",0,6,"live a meaningful life","FP003","003","run2","change","well-being",1.342,1,"yes","positive"
1,3,5.081,0.0832380215037622,"no",0,3,"overwhelmed","FP004","004","run1","self","ill-being",1.848,0,"no","negative"
2,3,10.064,-0.138148416430068,"no",0,5,"feel unimportant","FP004","004","run1","self","ill-being",1.481,0,"no","negative"
3,2,15.009,-0.562356618807101,"no",1,3,"neglected","FP004","004","run1","self","social",0.969,1,"yes","negative"
4,2,20.178,-0.500336746680907,"yes",0,3,"have good friends","FP004","004","run1","self","social",1.031,1,"yes","positive"
5,1,25.164,-0.807937845055496,"yes",0,2,"cheerful","FP004","004","run1","self","well-being",0.758,1,"yes","positive"
6,1,30.198,-0.672429516037517,"yes",0,3,"like myself","FP004","004","run1","self","well-being",0.868,1,"yes","positive"
7,4,44.863,0.0541390702245119,"no",0,3,"capable","FP004","004","run1","change","well-being",1.795,0,"no","positive"
8,4,49.847,0.187461527374513,"no",0,6,"live a meaningful life","FP004","004","run1","change","well-being",2.051,0,"no","positive"
9,6,55.17,0.0913221399037212,"yes",0,5,"unable to cope","FP004","004","run1","change","ill-being",1.863,1,"yes","negative"
10,6,60.157,0.106768518913956,"yes",0,2,"anxious","FP004","004","run1","change","ill-being",1.892,1,"yes","negative"
11,5,65.11,0.199095201966931,"no",1,5,"alienated","FP004","004","run1","change","social",2.075,1,"yes","negative"
12,6,70.214,-0.0740742164422252,"yes",1,2,"lonely","FP004","004","run1","change","social",1.579,0,"no","negative"
13,3,84.947,-0.383308387358116,"no",0,5,"feel invisible","FP004","004","run1","self","ill-being",1.159,0,"no","negative"
14,3,89.895,-0.422908810210638,"no",0,4,"feel rejected","FP004","004","run1","self","ill-being",1.114,0,"no","negative"
15,1,94.847,-0.561325159200439,"yes",0,5,"satisfied with life","FP004","004","run1","self","well-being",0.97,1,"yes","positive"
16,1,99.83,-0.831971044499652,"yes",0,2,"joyful","FP004","004","run1","self","well-being",0.74,1,"yes","positive"
17,2,104.862,-0.593805751489604,"yes",0,5,"comfortable with friends","FP004","004","run1","self","social",0.939,1,"yes","positive"
18,3,109.959,-0.561325159200439,"no",0,2,"depressed","FP004","004","run1","self","ill-being",0.97,0,"no","negative"
19,6,124.662,-0.227064497384066,"yes",0,2,"nervous","FP004","004","run1","change","ill-being",1.355,1,"yes","negative"
20,4,129.607,-0.444688255474678,"yes",0,4,"optimistic","FP004","004","run1","change","well-being",1.09,1,"yes","positive"
