Subject ID,Flag,Name (gender after session),Session Date,Session Start,Session End,Location (run room),Condition,Experimenter,Credit Given?,1st craved,2nd craved,3rd craved,Strategy,Notes: Regulation,Notes: Purpose,Notes: Carry over effects,Notes: Choose,Notes: Effort,Notes: Images,Notes: Timing,Notes: Writing task B,Rating,Notes: Other
HL010,,F,4/30/2018,11:30,1:00,107,B,AM,Y,fruit,burgers,icecream,"ST: dairy would make me feel sick and uncomfortable; low quality burgers would feel really gross, and not be as nutritious ","Look at what was in it - stuff I didn't like, negative consequence was that I wouldn't want to eat it",Think about consequences of eating certain foods,Not hard when looking; a little harder when regulating,chose about the same - mostly what I hadn't done in a while; would pick regulate if there was ice cream or burgers (vs. fruit),Not hard. Sometimes got distracted. ,No.,Okay.,"Not biased; a little difficult because I'm a little of both, but I wanted to be more like #1",,
HL011,,M,4/30/2018,1:35,3:05,107,C,NV,Y,bbq,fries,pizza,ST: Thought about weird tastes and the types of pizza's he didn't like; LT: thought about the calories and the potential weight gain,Worked well,To make him more healthy,Thought about negative things during Look cues,Alternated between look and regulate,The beginning was easy but got harder as he started piling up with opinions on things,Looked good,Difficult for the choose cue,,,"Ran out of time, unable to do qualitrics; first language wasn't english"
HL012,,F,4/30/2018,3:10,4:40,107,A,NV,Y,pasta,donuts,chips,"ST: Thought about stomach aches, or about the taste/texture of some foods (greasiness); thought about what foods made her mouth dry","Worked well, but liked foods made it difficult to regulate",To look at food negatively so you won't want to eat it,No carry over; felt relief from the regulate cues when the look ones came up,Alternated back and forth,Not difficult,"Good images; didn't like ""crusty"" pasta","Took time to get used to it, but eventually got it",,,
HL013,,M,4/30/2018,5:00,6:30,107,A,NV,Y,pizza,cookies,chocolate,LT: thought about gaining weight and being out of shape,Worked well,To make him think differently about the food,Didn't think about looking when regulating or visa versa,Previews didn't effect choice,Not hard at all; easy to follow with only four responses available ,No.,Good pace; not too fast or slow,,,
HL014,,F,5/1/2018,10:00,11:30,107,A,AM,Y,fruit,icecream,fruitdesserts,"LT: gaining weight, obesity; ST: stomach ache, restroom problems, feeling cold (from ice cream); dirty-looking table, ight make me sick; color of food suggest it might be bad or rotten; make me tried or ucomfotable",Sometimes it changed,imagine long-term conseuqences of eatingcertian foods,No carryover,Preferred regulate because look was easy,Not difficult,Okay. Didn't want to eat sweet foods at all by the end,Okay.,na,,
HL015,,F,5/1/2018,1:15,2:45,107,C,HN,Y,pasta,cookies,pizza,"ST: caramel or chewy cookies getting stuck in teeth, foods with a lot of flour would make her bloat LT: for foods she couldn't think about as sticky, she thought about being obese if she ate it every day","Cookies that looked especially sticky worked, if it looked very appetizing she struggled to regulate at all, tried to make regulation really specific to each food item",,"Tough to go from look to regulate, but fine for regulate to look","Chose randomly, tried to get a bit of each","Not difficult, ratings were tough at some parts",NA,Timing for craving and effort ratings was tough,NA,,"After looking at so many craving and effort ratings, she focused her attention just to the slider part that said 1 through 4 on a line. By doing that and sort of habituating to the headline of the craving and effort rating slide she had a tough time telling when the slide switched from craving rating to effort rating. She suggested making the sliders different colors so its more obvious when the slide changes."
HL016,,F,5/2/2018,10:00,11:30,107,B,JC,Y,pizza,burgers,cookies,"ST:  stomach ache, feeling full; LT: weight gain, diabetes, heart issues","Strategy depended on food. Mostly used a combination of weight gain, diabetes, and being healthy in general (eg. Nutrition)",Just wanted to go with the flow of the experiment and be honest about her feelings and thoughts during the process,"During look, not hard to not regulate; during reglate, very hard to not think aboutsensory experience ","If it looked good in preview, she chose to look; otherwise, just switched back and forth ",Not difficult,Fine,"Only missed one choice cue, said my warnings about the pace during te instructions preparedher","Said she knew she “should” have chose 1, but she wanted to be honest in recognizing that she was more like 2 in terms of her attitudes towards food.",,
HL017,,F,5/2/2018,1:00,2:35,107,B,NV,Y,cheese,fruitdesserts,chocolate,ST: Imagined her chronic heartburn acting up,Very effective; imagined heartburn very vividly,To think about what you're putting in your body,Hard to regulate without thinking about looking,"Easy to choose, alternated back and forth; deviated pattern based on the image previews",Pretty easy; choose cues were a bit harder to follow,Would like motzerella to be added to the cheese images,"Pictures were a bit too slow, ratings were a bit too fast",Neither seemed more positive; choice was easy though,,
HL018,,M,5/2/2018,3:30,5:00,107,B,NV,Y,pizza,fries,burgers,ST: feeling realling full and gross or sick; LT: gaining weight and getting health problems,Worked well,To see if the regulation changes how we feel when we see the image again?,Depeneded on if he liked the food; otherwise no real problem with either one,Chose based on the food preview,Not hard,No.,Brand names made it easier for him to decide if he liked the food or not,First one seemed more positive; close decision but not too hard,,
HL019,,F,5/3/2018,1:15,2:35,119,A,HN,Y,fruit,bbq,chips,"ST: feeling full, kiwi would taste bad texture would be gross","Didn't think they were working for her, wasn't able to think fast enough, noted that regulating was difficult because it was food that she liked",To see if it decreased craving,Always ended up looking during regulate trials because couldn't think fast enough,"Looked whenevefr food looked appetizing, regulated when food didn't look as good",Really struggled with regulating,No comments,Too fast,NA,,"She seemed to really lack understanding of the regulate trials and explained that she was almost always just looking because by the time she thought ""I need to think of the short and long term negative consequences"" the 6 second image was gone"
HL020,,M,5/3/2018,3:30,5:00,119,B,NV,Y,chips,burgers,fries,"ST: thought about bad breath, the lingering taste if he didn't brush his teeth; LT: thought about weight gain and raising his risk for heart attacks",Worked better than he expected,To see how much you can change your mind on something,Both were difficult; thought about sensory when regulating and negative consequences when looking,Tried to keep it at 3 and 3,It was a little confusing; the practice helped him understand better,Good variation,"Quick, but kept him on his toes","He said profile one seemed more positive and that he should have chose it, but chose profile two",,
HL021,,F,5/4/2018,11:00,12:00,107,B,NV,Y,cookies,pizza,burgers,NA,NA,NA,NA,NA,NA,Toppings made foods undesirable,NA,NA,,Participant rated > 0 too few times and the computer directery didn't have enough images to run the practice task or main task; finished ratings task and writing task.
HL022,,M,5/4/2018,1:00,2:30,107,B,LH,Y,fruit,chips,donuts,ST: Thought about negative consequences associated with health and how the foods would provide energy,,To think about how different ways of thinking of food would effect how much you want to eat it,"Not to hard to think abut negative consequences for the 'look' trial. For regulation trial it was a little harder (on a scale of 1-4, ~3). ","Chose at random, unless the preview images showed a food that looked really appetizing, decided to look on that trial",NA,NA,NA,"Thinking about LT consequences seemed more positive. Was difficult to choose a profile, but at the end knew it was more accurate. ",,"There was a power outage for about 10 minutes. It happened after the practice task when I was giving instructions for the actual task. Once it turned back on, I just kept going on Matlab since data was saved prior. Might not have time to go through post-experimental questions since participant has to leave at end of session time "
HL023,,M,5/4/2018,2:50,4:15,107,B,JC,Y,pizza,donuts,bbq,"ST: NA; LT: weight gain, lethargy","Relied on the looks of the food, if the didn’t look good it as easier to regulate (ie. Artificial sugar on donuts)",To see how skillful he was at making healthy choices,Easy; hard (respectively),"Sort of kept track, if he had been regulating a lot he chose to look",Not difficult,"Good, Some of te pictures had poor resolution quality",Fine,"Difficult to choose, said #1 sounded like the “right” choice",,English 2nd language 
HL024,,F,5/7/2018,12:30,2:00,107,C,AM,Y,fruit,bbq,chocolate,"LT: gaining weight, others' percpetion of me, financial cost",Definitely changed how much I wanted,trie dto think of longer term and short term effects,not an issue,"usually went back and forth; if preview looked really good, just picked look",Instructions were helpful,good; liked being able to distinguish between home-cooked and restaurant,liked that it was fast to avoid overthinking desirability,na,,
HL025,,F,5/7/2018,2:05,3:40,107,B,LH,Y,fries,ice cream,candy ,"ST: stomach problems, like feeling bloated immediately after. Could improve on thinking about the feeling of eating the foods all at once. LT: gaining weight","Ended thinking about what she would be eating and what she usually eats and how it would be applied to negative health consequences. However, It was difficult to come up with negative consequences. ",Think more of food choices and how that would effect her in the long-term ,"It was hard because the foods looked appealing and good, so negative consequences would come up if she were to eat those foods. But it wasn't hard to not think about the sensory experience during the regulate trials. ",Was possible to choose some of each ,Slightly difficult to come up with negative consequences short and long term ,"Images should look more realistic, some looked they came out of a magazine ad",NA,"Both profiles seemed equal, hence it was difficult to choose one since neither seemed more positive than the other",,English is second language
HL026,,F,5/7/2018,2:40,4:10,119,B,NV,Y,fruit,cheese,fries,"ST: thought about general negative health consequences; such as stomach aches and hightened cholesteral LT: thought about the consequences of production; such as workers conditions, organic/non-organic, lifestock conditions, etc.",Worked well; thought they would do better if they tried harder to inhibit their initial reaction,To study the effects of food advertizing ,"Easy for both, but harder to regulate w/o sensory distractions",Tried to keep it equal; pictures influenced choice on which though,Not too difficult; effort rating was confusing after a while,Good images,Pretty easy overall but the choose cues were a bit harder,"Profile one seemed more positive, and it wasn't hard to choose",,
HL027,1,F,5/7/2018,3:40,5:20,107,C,LH,Y,chips,bbq,fruit,LT negative consequences regarding health outcomes. Couldn't come up with ST,,to think about the negative consequences that would come with eating that food.,It was hard espicially with the unhealthy foods and it was also hard to not think abou the sensory experience for the regulate trials b/c that is a big factor w/ eating food.  ,Possible to choose both,wasn't difficult,some images of the food were not prepared well. This effected whether she would want to eat it or not. (For example a picture of an orange that was unpeeled was less appetizing looking than if it was peeled),At first was hard to think quickly but became easier,NA,,Matlab froze in the middle of task 1. I had to quit and the restart matlab and have participant start over task 1
HL028,,F,5/8/2018,11:00,12:15,107,A,GR,Y,fruit,fries,chocolate,"ST: fries-> more decadent ones would give stomach achey feeling. Worked well for chocolate, fries a bit less effective, fruit didn't work. She tried to imagine how it will feeling going for a run after eating a bunch of fries",The strategies helped facilitate the goal of thinking more consciously about food and wanted it less,Try ti think about food choices more consciously. ,"It was hard to not think about negatives while looking, but while regulating there were no carryover effects","tried to keep even, went back and forth, preview did not influence decision",not difficult,some images looked more appetizing,was more ahead of the pace.,,,
HL029,,F,5/8/2018,1:15,2:45,107,C,HN,Y,burgers,fries,bbq,"ST: stuck in teeth, greasy feeling in mouth and on hands, bad breath, bbq sauce is sticky and would be uncomfortable",,To get her to crave the food less,"Difficult to not look during regulate trials, noted that this was mostly because of the timing",Chose look for burgers and regulate for things she thought would be hard,Not difficult,Some images looked more appetizing,Too quick for regulate,NA,,
HL030,,F,5/9/2018,9:00,10:40,107,B,LH,Y,fruitdesserts,fruitdesserts,bbq,ST: stomachaches and bloating LT: theres a lot of sugar in the foods and how that would effect her in the long term ,was difficult to think about neg. consequences for fruit,to think about the food eaten and to realize we should eat normal portion sizes while eating the food,it was difficult to not think abou the neg. consequences especially w/ the fruit desserts. It was also difficult to not think abou the sensory experience for the regulate trial,Chose 50/50,not difficult,images were good,timing was too quick,"both seemed positive, it wasn't too hard to choose a profile",,English is second language
HL031,,F,5/9/2018,11:00,12:20,107,A,GR,Y,pizza,cookies,fries,"ST: sticky with ketchup, too salty, not liking toppings LT: weight gain. Decreased appetite","Worked well, but got a little repetetive by run 3, so the effect of regulating wore off",convinvce ourselves to not want something,no carryover for either,"tried to keep even, sometimes influenced by preview when images were unfamiliar","easy, kept choosing 1 and 2",a bit repetetive,,,,
HL032,,F,5/9/2018,1:00,2:30,107,B,JC,Y,chips,cheese,Fruit,"ST: “food coma”, breaking out, lactose intolerance symptoms LT: weight gan",Same strategies worked well,To think about how good the food would be then convince herself not toeat it,Task was too fast to distinguish between the look and regulate trials and separate the thought processes,"Easy to choose, did regulate when it was cheese (easier)",Not difficult,Fine,"A little fast, didn’t get used to it until the last trial","The second one seemed more positive, and she chose it because she enjoys indulging in food ",,Phone went off during session
HL033,,F,5/9/2018,1:30,3:00,119,C,NV,Y,chocolate,fruit,cheese,"ST: stomach aches, bloated feeling, greasy feeling; LT: weight gain, increase in anxiety/depression",Worked well,"To force you to think about consequences of eating, rather than go with immediate response",Got harder as it went on for both,"Used the previews at first, but then switched to alternating",Kinda difficult; confused the ratings together on occasion and had to remind herself what to do,Good; vivid,A little fast between the switch from craving rating to effort rating,,,It was hard to tell when the craving rating switched to the effort rating 
HL034,,M,5/9/2018,2:40,4:00,107,B,JC,Y,ice cream,chocolate,donut,"ST: feeling too full, sweets hurting teeth when eating too much ",Same methods as before worked well,To see how people control themseves,"None during looking, very hard during regulation",Chose “randomly” ,Not difficult,"Thought that some of the images were more inticing than others, therefore causing a bias (I brought up that maybe it was his own bias!)",Timing was fine,Secon option seemed more positive,,English is second language 
HL035,,F,5/9/2018,3:10,4:35,119,B,GR,Y,pizza,pasta,cookies,"Initially thought of LT such as bored of eating same food, weight gain. Thought of ST such as nausea, bloated and tired interfering with going out with friends later that night","Worked for pizza and pasta, not cookies",think more about negative consequences and change how you feel about the food,"for look trials she thought of negative consequences, for regulate, sometimes thought of sensory feels","switched back and forth, preview not influenital",easy,good,fine,"first seemed more positive, but chose second one",,
HL036,,F,5/11/2018,9:30,11:00,107,B,AM,Y',piasta,pizza,cheese,"ST: stomachache, not feeling oog dimmediately; LT: cheese makes skin break out; dairy doesn't make her feel good",Usually made the foods less desirable,Look at negative consequences and how it would make her feel,Noticed was thinking about consequences for first couple seconds after going from regulate to look sets,used previews to pick,certain foods were harder,nice,look/regulate was hard to do in short time,"#1 seemed more positive; but it's more difficult, especially when out with friends",,favorite SONA study she did
HL037,,F,5/11/2018,1:00,2:25,107,B,GR,Y,pasta,fries,chips,"ST: remembered how badly it felt in stomach, lactose intolerant, it worked, but sometimes still went with it","after the practice round she said it sometimes worked so I helped elaborate and after ROC1, she said the new strategies worked",see the difference on food preferences and how conscientiousness plays a role,"look: a little bit, regulation: less","preview influenced, if already could come up with negative consequences, went with regulate",straighforward,no,"a little fast, choose seemed faster, got adjusted",being contientious about food seemed more positive,,
HL038,,F,5/14/2018,1:30,2:53,107,B,LH,Y,fries,chocolate,fruit,"ST: there was a bowl of chocolate, and she knew she could eat it all but thought of the ST neg consequences of how it would make her upset and feel ""gross"" which isnt a good feeling",Thought about how'd she feel emotionally after eating all the food such as feeling guilty ,try to convince yourself to htik differently about the food,It was hard to not think abou the negative consequences for the look trial. But it was very hard to not think about the sensory experience during the regulate trials,Chose 50/50,"It was difficult, the only that made it difficult was the timing. So the ability to come up with consequences in a short amount of time",Noticed she had to look at some of the same exact images over and over again ,,Not difficult to choose and both seemed relatively positive,,
HL039,,M,5/15/2018,1:15,2:30,119,B,HN,Y,fries,cookies,bbq,"ST: greasy feelings, not feeling well, leftover taste in mouth LT: illnesses like heart disease","Wasn't really working, sometimes it did but the food (especially fries) just looked so good, noted this was because he hasn't been able to afford very much food lately so they all looked so appetizing there's no way he could turn them down",To see if thinking about negative consequences changed whether he wanted the food,"Didn't experience carry over effects, but did think about how good the food looked for all cues",alternated for choose,Not difficult,None,Didn't feel like he had enough time to choose look or regulate,Didn't understand my question but thought that each profile was targeted to certain types of people,,"Expressed that this task was difficult for him because he is a ""starving college student"" who can't afford food so he wanted everything because he rarely gets to enjoy food"
HL040,,M,5/16/2018,12:00,1:30,107,A,GR,Y,burgers,icecream,pizza,"LT: Gaining weight, ST: headaches for ice cream, pizza and burgers were feeling bloated and nauseous","Worked well, deacreased appetite","Health, thinking of consequences to take care of one's self",none,randomly,easy,some looked unclear on what it was,"very fast, during practice, he could not regualte or look during the images. Came up with strategy so that he can think of LT and ST immediately and concretely so he didn't have to search his brain to think of them. During the actual ROC, he was able to regulate and look effectively ",NA,,"In ROC practice, the last choose said 0, 1. English as second language"
HL041,,F,5/16/2018,2:00,3:27,119,B,GR,Y,bbq,veggies,fruit,ST: oil makes her feel gross and cheese makes her feel bloated,"she already used this strategy sometimes, so she was already good at it","when people regulate, theywill think of consequences and control how they make decisions","only for regualte, where she combined consequences and looking ","if amount of food in the preview was not large, she would choose look becausr it is hard to regulate when there is a little bit of food",easy,no,a little too fast for regualte,"chose 2, however 1 felt more positive because of being health conscious",,
HL042,,F,5/16/2018,2:00,,107,B,JC,Y,chips,fruit,Pasta,"ST: mouth hurting, tooth pain LT: was only chips, did not use long-term","Stomach ache, feeing too full, lack of nutritious food, said they seemed to work well",To think about how the food impacts them,Not really hard,Chose every other one,Not difficult,Looked awesome,"Perfect amount: any faster=anxiety, any slower=boredom",Said they seemed a little judgy ,,
HL043,,M,5/17/2018,12:00,1:26,107,B,GR,Y,fruit,pasta ,cheese,LT: health risks -> weight gain; ST: cheese -> getting mucus,This changed how much desire he had for the food,"negative side effects; desire to eat went down, inhibits immediate gut reaction","iDuring look, if food was fatty, he would regulate.","balance it out, harder to do the choose trials because of the amount of button pressing ",easy,no,a little challenging but got used to it,1 was more health oriented and therefore more positive to him,,
HL044,,F,5/17/2018,2:00,3:40,107,B,GR,Y,fruitdesserts,donuts,pasta,"ST: feeling heavy, lethargic, icky. Did not have any longterm",This made her desire go down.,NA,NA,NA,NA,NA,NA,NA,,was 10 minutes over and she had to leave so no experience Qs
HL045,,F,5/17/2018,3:40,4:10,119,A,NV,Y,fruit,fries,burgers,"ST: thought about feeling greasy, general bad body feels, stomach aches, and greasy hands; LT: Weight gain","Worked well, was difficult with fruit",to see how thinking about negative consequences effects your desire to eat the food,"It was moderately hard not to regulate on the look trials, but not the other way around",Pictures influenced choice,Not difficult,No,It was hard to keep up,,,
HL046,,F,5/18/2018,12:00,1:25,107,C,GR,Y,burgers,cookies,pasta,"ST: stomach ache would ruin day/evening. LT: weight gain, diabetes","had a big influecne, thought of ST health effects like stomach ache and decreased desire to eat",goal was to change your mind about the food based on negative thoughts,"only for regulate trials, where they thought it initially looked good but then regulated ",randomly,easy,images were varied,got used to it,,,
HL047,,F,5/18/2018,1:30,,107,B,LH,Y,fruit,ice cream,veggies,"ST: getting a headache immediately after eating all of that sugar. LT  thought about if continuously were to eat sugar, would eventually get a craving and would be hard to stop eating sugary foods whch could lead to poor health outcomes",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,"Seems to have trouble understanding rating concepts of the desire to eat the food in that momemt and overall confused about the task such as being skeptical. Asked many questions, I was able to answer all of them but I think she was just second guessing herself or made it more complicated than need be. Also had numerous questions about the questions on the questionnaire, so many that I was unable to follow up with post experimental quesions because of time. Probabl "
HL048,,M,5/18/2018,3:30,5:00,107,C,JC,Y,pasta,fruit,veggies,"ST: stomach problems (has dietary restrictions), appearance of food LT: didn’t use long term, said they would prefer to use short term as it woke better for them","Worked well, used mostly ST feeling of sluggish and effects of dietary restrictions",To think about the effects of eating the food,Not really,Alternated ,Not difficult,Ok,Practice was usefu for getting used to the pace,N/A,,
HL049,,F,5/21/2018,2:00,3:30,119,B,GR,Y,fruit,veggies,fruitdesserts,"ST: thought about the way things were prepared: grilling would leave burn marks and the smokiness affects her throat, if they had cheese, it would affect her lactose intolerance, some had so much salt",Worked well in terms of changing how she felt about the food,testing regulation skills in terms of eating,"look: yes; regulate: a little bit, but prioritized regulation","if saw a dessert on the preview, would choose regulate",easy,"nice variety, the background helped make the scene feel more real for the look trials",adapted easily,"both profiles seemed to be equally positive, chose prfile 1 easily",,
HL050,,F,5/22/2018,10:30,12:15,107,C,GR,Y,icecream,fries,cookies,"ST: bloated, ""shouldn't have eaten them""; LT: fattening over time",decresased her desire to eat them,NA,NA,NA,NA,NA,NA,NA,,Ran out of time to do post experimental questions: they were taking a while with the Qualtrics
HL051,,M,5/22/2018,12:00,1:28,119,C,GR,Y,pasta,fruitdesserts,pizza,"ST: feeling bloated, eating all of the fruitdesserts interfering with gym workout; LT: weight gain",decreased desire to eat the food,how certain images affect desire to eat the food and also how thinking about food in a differnt way could affect desire as well,"not for look, but for regulate, he thought of the sensations, bit focused on regulation","random, but if he saw things he liked in the preview, he would choose Look","easy for the most part, but for regulate, it was harder because he had to block out desire",no,a little fast but got used to it,NA,,NA
HL052,,M,5/22/2018,1:15,2:30,107,B,HN,Y,icecream,chocolate,bbq,"ST: bloating LT: diabetes, cavities","Worked sorta well, didn't enjoy it",To get him to not like his foods/make it harder to want,Hard to not look during regulate trials,"Look was easier, didn't want to think about regulating because he really liked those foods and didnt want to make himself like the foods less",easy,Ok,Ok,Thought profile 1 was more positive,,"Did equal looks and regulates on 1st run, did only looks for 2nd trial and I reminded him to choose some of each, still only did 1 regulate for 3rd run"
HL053,,F,5/23/2018,8:08,9:27,107,C,LH,Y,pasta,fruit desserts,veggies,LT: thought about getting cavities from all the sugar. ST: Thought about getting an upset stomach if were to eat the large portions presented,Thought about eating the whole amount of food at once and getting a stomachache. Long term thought about the negative health consequences that would arise if she were to eat that food every single day. These negative consequences seemed to be working. ,To think about the long and short term effects of eating that food,"At first it wasn't hard, but as the task went on it became more difficult. For the regulation trial it wasn't hard to not think of the sensory experience because the ngative consequences took more priority/mental space than the sensory experience itself. ",chose both 50/50,"Easy, became repetitive",good variety ,easy to keep up,N/A,,Wasn't able to get in until 8:00am so started a little late than scheduled. 
HL054,,F,5/23/2018,10:30,11:50,107,A,DC,Y,fries,cookies,cheese,"ST: messiness/greasiness of the foods, stomach ache; LT: weight gain, high cholesterol",,"Make the food less appetizing, but not by thinking about the taste aspects","Maybe a little, but not really",Chose equally; kept track and alternated; preview images didn't affect the choice,"Had to stay alert, which was kind of effortful",NA,A little fast but got used to it,,,
HL055,,M,5/23/2018,12:00,1:40,119,C,GR,Y,pasta ,fruit,fruitdesserts,ST: stomach cramps;  LT: overeating gaining weight,"Decreased desire to eat pasta and fruitdesserts, but not fruit becasue it was difficult to come up with negative consequences for eating small amounts of fruit",deeper thinking about impact of foods,"not for look, but for regulate, only if the food looked really appetizing",NA,easy,no,got used to it,,,"English as a second language, session ran 10 minutes over"
HL056,,M,5/23/2018,11:40,12:50,107,A,JC,Y,pizza,burgers,bbq,"ST: feeling too full, messy LT: heart disease)","Heart disease, heart-burn, said once he kept these ones going that they worked really well for him",Changing the way tothink abou food and thinking about the negative consequences,"Got more difficult to not think about regulating during look trials, got easier during regulation to not look ",Choose looked when they looked good,Not hard at all ,Appetizing,"Good, got used to it after practice ",N/A,,
HL057,,F,5/23/2018,2:00,3:35,107,C,GR,Y,pasta,cheese,bbq,"ST feeling nauseous with cheesy stuff; LT: gaining weight, high blood pressure","Cultural differences in food make it easier to regulate. When thinking about LT, it took longer",thinking of negative consequences can influence decisions,look-> yes; regulate -> yes,"preferred regulate because it was easy, the preview sometimes influenced choice","easier to regulate, felt as though there wasn't enought time to look based on the cultural differences in food",no,timing was still challenging by ROC 2,NA,,"Didn't have enough time to visualize for look because culturally, it was hard to identify with some of the food images"
HL058,,F,5/23/2018,3:40,5:00,119,A,NV,Y,candy,fries,fruit,"ST: stomach aches, distaste LT: Tooth decay, specifically with acidic fruits ruining enamel",worked well at first but said it didn't work the second time asked,To see if imagining the consequences changed how much she wanted to eat the food,"Easy to look and not regulate, hard to regulate and not look",The pictures influenced her choice,Not difficult; short sentences and bolt print helped,Good pictures,"Fast, but quickly got used to it",NA,,
