"trial","condition","onset","RT","response","reversed","syllables","item","subjectID","run","instruction","construct"
14,3,89.956,1.448,2,0,1,"stressed","FP001","run2","self","ill-being"
15,1,94.896,2.708,1,0,4,"optimistic","FP001","run2","self","well-being"
16,1,99.839,1.941,1,0,3,"achieve goals","FP001","run2","self","well-being"
17,2,104.823,2.774,1,0,6,"have warm relationships","FP001","run2","self","social"
18,3,109.774,4.087,2,0,5,"feel unimportant","FP001","run2","self","ill-being"
19,6,124.573,1.68,1,0,2,"depressed","FP001","run2","change","ill-being"
20,4,129.553,1.979,1,0,3,"like myself","FP001","run2","change","well-being"
21,5,134.573,1.864,1,0,3,"have good friends","FP001","run2","change","social"
22,5,139.673,3.492,2,0,5,"comfortable with friends","FP001","run2","change","social"
23,4,144.998,3.974,2,0,2,"cheerful","FP001","run2","change","well-being"
24,6,149.987,1.946,1,0,5,"feel invisible","FP001","run2","change","ill-being"
25,2,164.639,1.654,1,0,2,"trusted","FP001","run2","self","social"
26,1,169.583,1.43,2,0,5,"full of energy","FP001","run2","self","well-being"
27,1,174.537,1.012,1,0,1,"proud","FP001","run2","self","well-being"
28,3,179.556,1.345,2,0,5,"unable to cope","FP001","run2","self","ill-being"
29,2,184.493,1.439,1,0,1,"loved","FP001","run2","self","social"
30,2,189.471,1.445,1,0,2,"well-liked","FP001","run2","self","social"
31,5,204.139,2.466,1,0,5,"have support systems","FP001","run2","change","social"
32,5,209.304,1.468,1,1,4,"isolated","FP001","run2","change","social"
33,6,214.248,2.252,1,0,4,"feel rejected","FP001","run2","change","ill-being"
34,5,219.235,1.249,1,1,5,"alienated","FP001","run2","change","social"
35,4,224.405,NA,0,0,6,"live a purposeful life","FP001","run2","change","well-being"
36,4,229.387,0.097,1,0,5,"satisfied with life","FP001","run2","change","well-being"
1,3,5.052,1.459,1,0,3,"unhappy","FP002","run1","self","ill-being"
2,3,9.994,1.725,2,0,1,"stressed","FP002","run1","self","ill-being"
3,2,14.977,1.133,1,0,2,"well-liked","FP002","run1","self","social"
4,2,19.924,1.859,1,0,5,"have support systems","FP002","run1","self","social"
5,1,25.26,1.179,1,0,3,"achieve goals","FP002","run1","self","well-being"
6,1,30.21,1.444,1,0,2,"joyful","FP002","run1","self","well-being"
7,4,44.943,1.976,2,0,2,"happy","FP002","run1","change","well-being"
8,4,49.893,2.217,1,0,4,"optimistic","FP002","run1","change","well-being"
9,6,54.91,2.049,1,0,3,"overwhelmed","FP002","run1","change","ill-being"
10,6,59.927,1.952,1,0,2,"nervous","FP002","run1","change","ill-being"
11,5,64.872,3.303,1,1,5,"alienated","FP002","run1","change","social"
12,6,69.859,2.803,1,0,5,"feel invisible","FP002","run1","change","ill-being"
13,3,84.738,2.653,1,0,2,"tired","FP002","run1","self","ill-being"
14,3,89.758,1.441,2,0,5,"unable to cope","FP002","run1","self","ill-being"
15,1,94.861,1.818,1,0,5,"satisfied with life","FP002","run1","self","well-being"
16,1,99.875,2.323,1,0,6,"live a purposeful life","FP002","run1","self","well-being"
17,2,105.201,1.205,1,0,3,"have good friends","FP002","run1","self","social"
18,3,110.292,1.53,2,0,2,"anxious","FP002","run1","self","ill-being"
19,6,124.959,1.983,1,0,2,"depressed","FP002","run1","change","ill-being"
20,4,129.903,1.32,1,0,2,"cheerful","FP002","run1","change","well-being"
21,5,134.856,2.614,2,0,4,"feel encouraged","FP002","run1","change","social"
22,5,139.875,2.763,1,1,4,"isolated","FP002","run1","change","social"
23,4,144.825,3.237,2,0,3,"capable","FP002","run1","change","well-being"
24,6,149.808,2.43,1,0,5,"feel unimportant","FP002","run1","change","ill-being"
25,2,164.475,1.444,1,0,5,"comfortable with friends","FP002","run1","self","social"
26,1,169.457,1.453,1,0,5,"full of energy","FP002","run1","self","well-being"
27,1,174.774,1.416,1,0,3,"like myself","FP002","run1","self","well-being"
28,3,179.755,1.331,2,0,2,"lonely","FP002","run1","self","ill-being"
29,2,184.709,1.258,1,0,1,"loved","FP002","run1","self","social"
30,2,189.724,1.059,2,1,3,"neglected","FP002","run1","self","social"
31,5,204.423,2.863,2,0,3,"am cared for","FP002","run1","change","social"
32,5,209.375,2.032,1,0,6,"have warm relationships","FP002","run1","change","social"
33,6,214.358,3.561,1,0,4,"feel rejected","FP002","run1","change","ill-being"
34,5,219.525,2.122,1,0,2,"trusted","FP002","run1","change","social"
35,4,224.471,2.464,2,0,6,"live a meaningful life","FP002","run1","change","well-being"
36,4,229.575,2.312,2,0,1,"proud","FP002","run1","change","well-being"
1,3,5.052,2.434,2,0,3,"overwhelmed","FP002","run2","self","ill-being"
2,3,10.087,1.496,1,0,2,"nervous","FP002","run2","self","ill-being"
3,2,15.036,1.378,2,1,5,"alienated","FP002","run2","self","social"
4,2,20.019,1.131,1,0,4,"feel encouraged","FP002","run2","self","social"
5,1,24.964,0.946,1,0,2,"happy","FP002","run2","self","well-being"
6,1,29.918,1.032,1,0,4,"optimistic","FP002","run2","self","well-being"
7,4,44.613,2.266,2,0,3,"achieve goals","FP002","run2","change","well-being"
8,4,49.552,2.43,2,0,2,"joyful","FP002","run2","change","well-being"
9,6,54.534,1.552,1,0,3,"unhappy","FP002","run2","change","ill-being"
10,6,59.518,1.552,1,0,1,"stressed","FP002","run2","change","ill-being"
11,5,64.502,2.976,1,0,2,"well-liked","FP002","run2","change","social"
12,6,69.668,1.282,1,0,2,"tired","FP002","run2","change","ill-being"
13,3,84.368,1.47,2,0,5,"feel invisible","FP002","run2","self","ill-being"
14,3,89.461,1.242,2,0,2,"depressed","FP002","run2","self","ill-being"
15,1,94.401,1.013,1,0,2,"cheerful","FP002","run2","self","well-being"
16,1,99.501,1.225,1,0,3,"capable","FP002","run2","self","well-being"
17,2,104.438,1.08,2,1,4,"isolated","FP002","run2","self","social"
18,3,109.458,1.676,2,0,5,"feel unimportant","FP002","run2","self","ill-being"
19,6,124.168,3.126,1,0,5,"unable to cope","FP002","run2","change","ill-being"
20,4,129.333,1.865,2,0,5,"satisfied with life","FP002","run2","change","well-being"
21,5,134.277,1.777,2,0,5,"have support systems","FP002","run2","change","social"
22,5,139.297,2.126,2,0,3,"have good friends","FP002","run2","change","social"
23,4,144.401,3.525,2,0,6,"live a purposeful life","FP002","run2","change","well-being"
24,6,149.35,1.744,1,0,2,"anxious","FP002","run2","change","ill-being"
25,2,164.049,1.157,1,0,3,"am cared for","FP002","run2","self","social"
26,1,169.368,1.902,1,0,6,"live a meaningful life","FP002","run2","self","well-being"
27,1,174.384,1.622,1,0,1,"proud","FP002","run2","self","well-being"
28,3,179.325,1.337,2,0,4,"feel rejected","FP002","run2","self","ill-being"
29,2,184.35,1.168,1,0,6,"have warm relationships","FP002","run2","self","social"
30,2,189.666,1.076,1,0,2,"trusted","FP002","run2","self","social"
31,5,204.366,2.032,2,0,5,"comfortable with friends","FP002","run2","change","social"
32,5,209.347,1.531,2,0,1,"loved","FP002","run2","change","social"
33,6,214.366,1.464,1,0,2,"lonely","FP002","run2","change","ill-being"
34,5,219.466,2.596,1,1,3,"neglected","FP002","run2","change","social"
35,4,224.408,2.838,1,0,5,"full of energy","FP002","run2","change","well-being"
36,4,229.428,2.162,2,0,3,"like myself","FP002","run2","change","well-being"
1,3,5.08,2.022,2,0,5,"feel unimportant","FP003","run1","self","ill-being"
2,3,10.18,1.594,2,0,4,"feel rejected","FP003","run1","self","ill-being"
3,2,15.506,1.267,1,0,5,"have support systems","FP003","run1","self","social"
4,2,20.494,1.551,1,0,2,"well-liked","FP003","run1","self","social"
5,1,25.447,1.238,1,0,2,"happy","FP003","run1","self","well-being"
6,1,30.396,1.857,1,0,5,"full of energy","FP003","run1","self","well-being"
7,4,45.094,1.991,1,0,3,"like myself","FP003","run1","change","well-being"
8,4,50.046,2.456,1,0,6,"live a purposeful life","FP003","run1","change","well-being"
9,6,55.029,1.105,1,0,1,"stressed","FP003","run1","change","ill-being"
10,6,59.971,1.362,1,0,2,"depressed","FP003","run1","change","ill-being"
11,5,65.145,1.3,1,0,5,"comfortable with friends","FP003","run1","change","social"
12,6,70.162,1.963,1,0,5,"unable to cope","FP003","run1","change","ill-being"
13,3,84.888,1.429,1,0,2,"tired","FP003","run1","self","ill-being"
14,3,89.829,1.12,2,0,2,"anxious","FP003","run1","self","ill-being"
15,1,94.812,1.201,2,0,2,"cheerful","FP003","run1","self","well-being"
16,1,99.795,1.538,2,0,4,"optimistic","FP003","run1","self","well-being"
17,2,104.886,1.432,2,1,5,"alienated","FP003","run1","self","social"
18,3,109.862,0.895,2,0,2,"nervous","FP003","run1","self","ill-being"
19,6,124.562,1.844,1,0,3,"unhappy","FP003","run1","change","ill-being"
20,4,129.504,1.413,1,0,5,"satisfied with life","FP003","run1","change","well-being"
21,5,134.444,1.137,1,0,3,"am cared for","FP003","run1","change","social"
22,5,139.461,1.272,1,0,2,"trusted","FP003","run1","change","social"
23,4,144.413,1.32,1,0,3,"capable","FP003","run1","change","well-being"
24,6,149.512,1.118,1,0,5,"feel invisible","FP003","run1","change","ill-being"
25,2,164.211,2.482,2,0,6,"have warm relationships","FP003","run1","self","social"
26,1,169.149,1.48,1,0,2,"joyful","FP003","run1","self","well-being"
27,1,174.17,1.155,1,0,6,"live a meaningful life","FP003","run1","self","well-being"
28,3,179.111,2.247,1,0,2,"lonely","FP003","run1","self","ill-being"
29,2,184.06,0.921,1,0,1,"loved","FP003","run1","self","social"
30,2,189.381,1.032,2,1,3,"neglected","FP003","run1","self","social"
31,5,204.043,1.379,1,0,3,"have good friends","FP003","run1","change","social"
32,5,209.027,1.459,1,1,4,"isolated","FP003","run1","change","social"
33,6,214.348,1.321,1,0,3,"overwhelmed","FP003","run1","change","ill-being"
34,5,219.328,2.342,1,0,4,"feel encouraged","FP003","run1","change","social"
35,4,224.494,1.311,1,0,1,"proud","FP003","run1","change","well-being"
36,4,229.476,1.481,1,0,3,"achieve goals","FP003","run1","change","well-being"
1,3,5.055,1.336,1,0,1,"stressed","FP003","run2","self","ill-being"
2,3,10.042,0.878,2,0,2,"depressed","FP003","run2","self","ill-being"
3,2,15.229,1.218,1,0,5,"comfortable with friends","FP003","run2","self","social"
4,2,20.212,1.491,1,0,3,"am cared for","FP003","run2","self","social"
5,1,25.162,1.134,1,0,3,"like myself","FP003","run2","self","well-being"
6,1,30.262,1.258,1,0,6,"live a purposeful life","FP003","run2","self","well-being"
7,4,45.296,1.191,1,0,2,"happy","FP003","run2","change","well-being"
8,4,50.237,1.642,1,0,5,"full of energy","FP003","run2","change","well-being"
9,6,55.342,1.666,1,0,5,"feel unimportant","FP003","run2","change","ill-being"
10,6,60.329,0.999,1,0,4,"feel rejected","FP003","run2","change","ill-being"
11,5,65.648,1.447,1,0,5,"have support systems","FP003","run2","change","social"
12,6,70.595,1.004,1,0,2,"tired","FP003","run2","change","ill-being"
13,3,85.328,1.647,2,0,5,"unable to cope","FP003","run2","self","ill-being"
14,3,90.345,1.542,2,0,3,"unhappy","FP003","run2","self","ill-being"
15,1,95.329,2.047,1,0,5,"satisfied with life","FP003","run2","self","well-being"
16,1,100.308,0.892,1,0,3,"capable","FP003","run2","self","well-being"
17,2,105.478,1.138,1,0,2,"trusted","FP003","run2","self","social"
18,3,110.462,1.498,2,0,5,"feel invisible","FP003","run2","self","ill-being"
19,6,125.509,1.37,1,0,2,"anxious","FP003","run2","change","ill-being"
20,4,130.528,0.831,1,0,2,"cheerful","FP003","run2","change","well-being"
21,5,135.479,2.313,1,0,2,"well-liked","FP003","run2","change","social"
22,5,140.461,1.13,1,1,5,"alienated","FP003","run2","change","social"
23,4,145.44,1.808,2,0,4,"optimistic","FP003","run2","change","well-being"
24,6,150.393,1.335,1,0,2,"nervous","FP003","run2","change","ill-being"
25,2,165.204,1.612,1,0,3,"have good friends","FP003","run2","self","social"
26,1,170.224,0.896,1,0,1,"proud","FP003","run2","self","well-being"
27,1,175.178,1.126,1,0,3,"achieve goals","FP003","run2","self","well-being"
28,3,180.161,1.342,2,0,3,"overwhelmed","FP003","run2","self","ill-being"
29,2,185.177,1.407,2,1,4,"isolated","FP003","run2","self","social"
30,2,190.122,1.494,1,0,4,"feel encouraged","FP003","run2","self","social"
31,5,204.777,1.399,1,0,6,"have warm relationships","FP003","run2","change","social"
32,5,209.751,1.32,1,0,1,"loved","FP003","run2","change","social"
33,6,214.688,0.871,1,0,2,"lonely","FP003","run2","change","ill-being"
34,5,219.626,1.493,1,1,3,"neglected","FP003","run2","change","social"
35,4,224.61,0.853,1,0,2,"joyful","FP003","run2","change","well-being"
36,4,229.626,1.342,1,0,6,"live a meaningful life","FP003","run2","change","well-being"
1,3,5.081,1.848,2,0,3,"overwhelmed","FP004","run1","self","ill-being"
2,3,10.064,1.481,2,0,5,"feel unimportant","FP004","run1","self","ill-being"
3,2,15.009,0.969,2,1,3,"neglected","FP004","run1","self","social"
4,2,20.178,1.031,1,0,3,"have good friends","FP004","run1","self","social"
5,1,25.164,0.758,1,0,2,"cheerful","FP004","run1","self","well-being"
6,1,30.198,0.868,1,0,3,"like myself","FP004","run1","self","well-being"
7,4,44.863,1.795,2,0,3,"capable","FP004","run1","change","well-being"
8,4,49.847,2.051,2,0,6,"live a meaningful life","FP004","run1","change","well-being"
9,6,55.17,1.863,1,0,5,"unable to cope","FP004","run1","change","ill-being"
10,6,60.157,1.892,1,0,2,"anxious","FP004","run1","change","ill-being"
11,5,65.11,2.075,2,1,5,"alienated","FP004","run1","change","social"
12,6,70.214,1.579,1,0,2,"lonely","FP004","run1","change","ill-being"
13,3,84.947,1.159,2,0,5,"feel invisible","FP004","run1","self","ill-being"
14,3,89.895,1.114,2,0,4,"feel rejected","FP004","run1","self","ill-being"
15,1,94.847,0.97,1,0,5,"satisfied with life","FP004","run1","self","well-being"
16,1,99.83,0.74,1,0,2,"joyful","FP004","run1","self","well-being"
17,2,104.862,0.939,1,0,5,"comfortable with friends","FP004","run1","self","social"
18,3,109.959,0.97,2,0,2,"depressed","FP004","run1","self","ill-being"
19,6,124.662,1.355,1,0,2,"nervous","FP004","run1","change","ill-being"
20,4,129.607,1.09,1,0,4,"optimistic","FP004","run1","change","well-being"
21,5,134.594,3.535,1,0,3,"am cared for","FP004","run1","change","social"
22,5,139.545,1.392,1,0,2,"well-liked","FP004","run1","change","social"
23,4,144.562,1.399,1,0,2,"happy","FP004","run1","change","well-being"
24,6,149.504,1.033,1,0,2,"tired","FP004","run1","change","ill-being"
25,2,164.262,1.387,1,0,6,"have warm relationships","FP004","run1","self","social"
26,1,169.213,0.821,1,0,1,"proud","FP004","run1","self","well-being"
27,1,174.155,0.982,1,0,6,"live a purposeful life","FP004","run1","self","well-being"
28,3,179.095,1.698,1,0,1,"stressed","FP004","run1","self","ill-being"
29,2,184.078,1.027,1,0,4,"feel encouraged","FP004","run1","self","social"
30,2,189.4,1.049,1,0,2,"trusted","FP004","run1","self","social"
31,5,204.093,1.652,1,1,4,"isolated","FP004","run1","change","social"
32,5,209.196,1.294,1,0,1,"loved","FP004","run1","change","social"
33,6,214.178,1.383,1,0,3,"unhappy","FP004","run1","change","ill-being"
34,5,219.122,2.488,1,0,5,"have support systems","FP004","run1","change","social"
35,4,224.076,0.982,1,0,5,"full of energy","FP004","run1","change","well-being"
36,4,229.411,2.262,2,0,3,"achieve goals","FP004","run1","change","well-being"
1,3,5.074,1.39,2,0,5,"unable to cope","FP004","run2","self","ill-being"
2,3,10.025,1.198,2,0,2,"anxious","FP004","run2","self","ill-being"
3,2,15.126,1.394,2,1,5,"alienated","FP004","run2","self","social"
4,2,20.125,0.923,1,0,3,"am cared for","FP004","run2","self","social"
5,1,25.125,0.722,1,0,3,"capable","FP004","run2","self","well-being"
6,1,30.092,1.043,1,0,6,"live a meaningful life","FP004","run2","self","well-being"
7,4,44.761,1.279,1,0,2,"cheerful","FP004","run2","change","well-being"
8,4,49.71,2.129,1,0,3,"like myself","FP004","run2","change","well-being"
9,6,54.812,3.324,1,0,3,"overwhelmed","FP004","run2","change","ill-being"
10,6,59.762,3.174,1,0,5,"feel unimportant","FP004","run2","change","ill-being"
11,5,65.095,2.169,1,1,3,"neglected","FP004","run2","change","social"
12,6,70.095,2.497,2,0,5,"feel invisible","FP004","run2","change","ill-being"
13,3,84.846,1.298,2,0,2,"lonely","FP004","run2","self","ill-being"
14,3,89.798,1.338,2,0,2,"nervous","FP004","run2","self","ill-being"
15,1,94.748,0.924,1,0,4,"optimistic","FP004","run2","self","well-being"
16,1,99.731,1.02,1,0,2,"happy","FP004","run2","self","well-being"
17,2,104.682,1.358,1,0,2,"well-liked","FP004","run2","self","social"
18,3,109.665,1.334,1,0,2,"tired","FP004","run2","self","ill-being"
19,6,124.333,1.643,1,0,4,"feel rejected","FP004","run2","change","ill-being"
20,4,129.283,3.188,1,0,5,"satisfied with life","FP004","run2","change","well-being"
21,5,134.283,1.917,1,0,3,"have good friends","FP004","run2","change","social"
22,5,139.284,1.812,2,0,5,"comfortable with friends","FP004","run2","change","social"
23,4,144.601,1.998,1,0,2,"joyful","FP004","run2","change","well-being"
24,6,149.702,2.21,1,0,2,"depressed","FP004","run2","change","ill-being"
25,2,164.452,1.099,2,1,4,"isolated","FP004","run2","self","social"
26,1,169.486,1.338,1,0,5,"full of energy","FP004","run2","self","well-being"
27,1,174.486,0.945,1,0,3,"achieve goals","FP004","run2","self","well-being"
28,3,179.503,1.993,2,0,3,"unhappy","FP004","run2","self","ill-being"
29,2,184.487,0.881,1,0,1,"loved","FP004","run2","self","social"
30,2,189.587,1.157,1,0,5,"have support systems","FP004","run2","self","social"
31,5,204.254,2.825,1,0,6,"have warm relationships","FP004","run2","change","social"
32,5,209.255,1.497,1,0,4,"feel encouraged","FP004","run2","change","social"
33,6,214.288,1.679,1,0,1,"stressed","FP004","run2","change","ill-being"
34,5,219.274,1.742,2,0,2,"trusted","FP004","run2","change","social"
35,4,224.224,2.344,1,0,1,"proud","FP004","run2","change","well-being"
36,4,229.556,3.876,1,0,6,"live a purposeful life","FP004","run2","change","well-being"
1,3,5.059,2.293,1,0,2,"anxious","FP005","run1","self","ill-being"
2,3,10.042,1.629,2,0,5,"feel invisible","FP005","run1","self","ill-being"
3,2,14.998,1.274,1,0,5,"comfortable with friends","FP005","run1","self","social"
4,2,19.941,1.275,1,0,3,"have good friends","FP005","run1","self","social"
5,1,25.263,1.025,1,0,4,"optimistic","FP005","run1","self","well-being"
6,1,30.213,0.939,1,0,3,"achieve goals","FP005","run1","self","well-being"
7,4,44.872,1.952,1,0,5,"satisfied with life","FP005","run1","change","well-being"
8,4,49.888,1.24,1,0,2,"happy","FP005","run1","change","well-being"
9,6,54.903,2.617,1,0,4,"feel rejected","FP005","run1","change","ill-being"
10,6,59.847,1.513,1,0,5,"unable to cope","FP005","run1","change","ill-being"
11,5,64.83,1.322,1,1,5,"alienated","FP005","run1","change","social"
12,6,69.846,1.482,1,0,2,"tired","FP005","run1","change","ill-being"
13,3,84.728,1.439,2,0,5,"feel unimportant","FP005","run1","self","ill-being"
14,3,89.679,2.409,1,0,2,"lonely","FP005","run1","self","ill-being"
15,1,94.662,0.874,1,0,2,"joyful","FP005","run1","self","well-being"
16,1,99.981,0.859,1,0,1,"proud","FP005","run1","self","well-being"
17,2,104.929,0.967,1,0,4,"feel encouraged","FP005","run1","self","social"
18,3,109.945,1.087,1,0,2,"nervous","FP005","run1","self","ill-being"
19,6,124.645,1.107,1,0,3,"unhappy","FP005","run1","change","ill-being"
20,4,129.629,4.379,2,0,3,"like myself","FP005","run1","change","well-being"
21,5,134.578,1.766,1,1,4,"isolated","FP005","run1","change","social"
22,5,139.56,2.031,1,0,3,"am cared for","FP005","run1","change","social"
23,4,144.543,2.713,1,0,6,"live a meaningful life","FP005","run1","change","well-being"
24,6,149.526,1.298,1,0,3,"overwhelmed","FP005","run1","change","ill-being"
25,2,164.226,1.07,1,0,2,"trusted","FP005","run1","self","social"
26,1,169.174,1.546,1,0,6,"live a purposeful life","FP005","run1","self","well-being"
27,1,174.124,1.324,1,0,5,"full of energy","FP005","run1","self","well-being"
28,3,179.223,2.233,2,0,1,"stressed","FP005","run1","self","ill-being"
29,2,184.544,0.928,2,1,3,"neglected","FP005","run1","self","social"
30,2,189.488,0.84,1,0,1,"loved","FP005","run1","self","social"
31,5,204.162,4.59,1,0,6,"have warm relationships","FP005","run1","change","social"
32,5,209.336,1.104,1,0,5,"have support systems","FP005","run1","change","social"
33,6,214.318,1.665,1,0,2,"depressed","FP005","run1","change","ill-being"
34,5,219.335,2.16,2,0,2,"well-liked","FP005","run1","change","social"
35,4,224.277,0.882,1,0,3,"capable","FP005","run1","change","well-being"
36,4,229.377,2.023,2,0,2,"cheerful","FP005","run1","change","well-being"
1,3,5.064,2.019,2,0,4,"feel rejected","FP005","run2","self","ill-being"
2,3,10.011,1.736,2,0,5,"unable to cope","FP005","run2","self","ill-being"
3,2,15.344,1.147,2,1,5,"alienated","FP005","run2","self","social"
4,2,20.294,1.085,2,1,4,"isolated","FP005","run2","self","social"
5,1,25.615,NA,0,0,5,"satisfied with life","FP005","run2","self","well-being"
6,1,30.709,1.198,1,0,2,"happy","FP005","run2","self","well-being"
7,4,45.407,2.172,2,0,4,"optimistic","FP005","run2","change","well-being"
8,4,50.391,0.925,1,0,3,"achieve goals","FP005","run2","change","well-being"
9,6,55.331,2.6,1,0,2,"anxious","FP005","run2","change","ill-being"
10,6,60.272,1.715,1,0,5,"feel invisible","FP005","run2","change","ill-being"
11,5,65.265,3.426,2,0,5,"comfortable with friends","FP005","run2","change","social"
12,6,70.281,1.394,1,0,5,"feel unimportant","FP005","run2","change","ill-being"
13,3,85.014,1.365,1,0,2,"tired","FP005","run2","self","ill-being"
14,3,90.031,0.972,2,0,3,"unhappy","FP005","run2","self","ill-being"
15,1,95.013,1.566,1,0,3,"like myself","FP005","run2","self","well-being"
16,1,100.031,1.556,1,0,6,"live a meaningful life","FP005","run2","self","well-being"
17,2,105.201,0.907,1,0,3,"am cared for","FP005","run2","self","social"
18,3,110.297,3.818,2,0,3,"overwhelmed","FP005","run2","self","ill-being"
19,6,124.997,2.246,2,0,2,"lonely","FP005","run2","change","ill-being"
20,4,129.947,1.248,1,0,2,"joyful","FP005","run2","change","well-being"
21,5,135.114,0.897,1,0,3,"have good friends","FP005","run2","change","social"
22,5,140.064,0.948,1,0,4,"feel encouraged","FP005","run2","change","social"
23,4,145.079,0.724,1,0,1,"proud","FP005","run2","change","well-being"
24,6,150.063,2.14,1,0,2,"nervous","FP005","run2","change","ill-being"
25,2,164.811,2.12,1,0,6,"have warm relationships","FP005","run2","self","social"
26,1,169.761,0.899,1,0,3,"capable","FP005","run2","self","well-being"
27,1,174.71,0.837,1,0,2,"cheerful","FP005","run2","self","well-being"
28,3,179.809,0.891,2,0,2,"depressed","FP005","run2","self","ill-being"
29,2,184.791,0.972,1,0,5,"have support systems","FP005","run2","self","social"
30,2,189.742,1.445,1,0,2,"well-liked","FP005","run2","self","social"
31,5,204.44,0.899,1,0,2,"trusted","FP005","run2","change","social"
32,5,209.39,2.23,2,1,3,"neglected","FP005","run2","change","social"
33,6,214.372,1.071,1,0,1,"stressed","FP005","run2","change","ill-being"
34,5,219.356,4.127,2,0,1,"loved","FP005","run2","change","social"
35,4,224.338,1.018,1,0,6,"live a purposeful life","FP005","run2","change","well-being"
36,4,229.354,2.761,2,0,5,"full of energy","FP005","run2","change","well-being"
1,3,5.079,2.099,2,0,4,"feel rejected","FP006","run1","self","ill-being"
2,3,10.029,2.388,1,0,5,"feel unimportant","FP006","run1","self","ill-being"
3,2,15.047,1.467,1,0,4,"feel encouraged","FP006","run1","self","social"
4,2,20.007,1.291,1,0,5,"comfortable with friends","FP006","run1","self","social"
5,1,24.959,1.082,1,0,2,"joyful","FP006","run1","self","well-being"
6,1,30.064,1.618,1,0,1,"proud","FP006","run1","self","well-being"
7,4,44.797,1.117,1,0,2,"happy","FP006","run1","change","well-being"
8,4,49.895,2.211,1,0,6,"live a meaningful life","FP006","run1","change","well-being"
